Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
16,Google - More ways to search,Trending,Google,Utilities,3.86092,18766,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google earth,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/google-more-ways-to-search/id284815942?uo=4
17,Clever Cleaner: AI CleanUp App,Trending,CleverFiles Inc.,Productivity,4.83333,12,2025-02-27,Free,cleaner,clever,clever cleaner,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,storage cleaner,storage cleanerclean,cleaner guru,brain trainingclever,clever cleaner,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/clever-cleaner-ai-cleanup-app/id1666645584?uo=4
18,Planet Donut,Trending,LINK BUSINESS SOLUTION,Food & Drink,3.55263,114,2024-03-06,Free,planet,donuts,planet donuts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,planet craft,planet donut,planet free,donuts drift,planet,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/planet-donut/id6478827982?uo=4
19,Gmail - Email by Google,Trending,Google,Productivity,4.58223,9831,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google earth,google translate,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/gmail-email-by-google/id422689480?uo=4
20,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.43499,4253,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use with,telegram,for whatsapp,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/jo/app/telegram-messenger/id686449807?uo=4
21,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.51562,35728,2011-07-12,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,from truecaller,truecaller caller,spam blocker,spam calls,block spam,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/truecaller-caller-id-block/id448142450?uo=4
22,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.78755,56803,2010-05-21,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber eats,rides food,affordable rides,bookingcom travel,travel deals,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/uber-request-a-ride/id368677368?uo=4
23,Orange Money Jordan,Trending,Orange Jordan Business,Finance,4.09314,9953,2019-12-05,Free,orange,money,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orange money,orange max,jood orange,orange egypt,orange,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/orange-money-jordan/id1480149405?uo=4
24,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.26029,124244,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,music and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/tiktok-videos-music-live/id835599320?uo=4
25,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.74798,25847,2011-04-28,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pinterest downloader,pinterest video,pinnable pinterest,pinterest image,pinterest lifestyle,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/pinterest-lifestyle-ideas/id429047995?uo=4
26,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.7998,15859,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,maker studio,sticker maker,video editormaker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/canva-design-photo-video/id897446215?uo=4
27,Petra Ride,Trending,Al Safeer for information technology,Travel,3.67812,2386,2019-09-07,Free,petra,ride,petra ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,affordable rides,rides food,petra ride,rides,ride,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jo/app/petra-ride/id1463809354?uo=4
28,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.57059,1197,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,biometric agreement,behavior agreement,netshort,agreement,reel shorts,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/jo/app/netshort-popular-dramas-tv/id6504849169?uo=4
29,Zain Jo,Trending,Jordan Mobile Telephone Services,Utilities,4.17446,47581,2013-09-27,Free,من,على,zain,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zain ksa,zain cash,zaincash iraq,zaincar customer,zain,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/zain-jo/id705212738?uo=4
30,Phone Doctor Plus,Trending,Idea Mobile Tech inc.,Utilities,3.66667,3,2012-12-10,Free,doctor,plus,please,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beautyplusselfie photo,dict plus,beautyplusselfie,plus,lightroom photo,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/jo/app/phone-doctor-plus/id565111904?uo=4
31,Bank al Etihad | بنك الإتحاد,Trending,Bank al Etihad,Finance,4.82979,10076,2015-12-28,Free,من,بكل,على,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/jo/app/bank-al-etihad-%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%A5%D8%AA%D8%AD%D8%A7%D8%AF/id1060048474?uo=4
32,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.54555,10813,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn 360,super vpn,quark vpn,vpn proxy,unlimited vpn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/vpn-fast-vpn-super/id1528940523?uo=4
33,Instagram,Trending,"Instagram, Inc.",Photo & Video,3.24836,292460,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,videos music,connect the,connect mena,bein connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/instagram/id389801252?uo=4
34,iHerb: Vitamins & Supplements,Trending,iHerb LLC,Shopping,4.7943,5440,2013-08-12,Free,iherb,products,health,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,iherb vitamins,iherb,products,plant identifier,care growth,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/iherb-vitamins-supplements/id636609212?uo=4
35,Zain Cash Jordan,Trending,Jordan Mobile Telephone Services,Finance,4.57852,24687,2019-08-19,Free,zain,cash,zain cash,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zain ksa,zain cash,zaincash iraq,zaincar customer,cash jordan,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/zain-cash-jordan/id1472544421?uo=4
36,Umniah,Trending,Umniah Mobile Company,Business,4.25908,29142,2014-02-16,Free,و,umniah,من,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,private proxy,prayer time,almosaly athan,songs you,soundcloud the,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/umniah/id786186903?uo=4
37,Alibaba.com B2B Trade App,Trending,杭州阿里巴巴广告有限公司,Shopping,4.60956,12929,2012-02-24,Free,alibaba,com,alibaba com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for alibaba,alibabacom b2b,capitalcom trading,baytcom job,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/alibaba-com-b2b-trade-app/id503451073?uo=4
38,Google Chrome,Trending,Google,Utilities,4.02541,14682,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google earth,google translate,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/google-chrome/id535886823?uo=4
39,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.62152,20844,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/whatsapp-business/id1386412985?uo=4
40,SUGO: Online Chat Party,Trending,MOBILE ALPHA LIMITED,Social Networking,2.92982,57,2021-07-25,Free,chat,sugo,gifts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,chat with,sugo online,snapchat,chatgpt,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jo/app/sugo-online-chat-party/id1574436604?uo=4
41,Shini Me,Trending,Al Shin Supermarket,Utilities,0.0,0,2025-01-16,Free,shopping,shini,rewards,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,shopping made,share rewards,jkb rewards,sheinshopping,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/shini-me/id6739893334?uo=4
42,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,3.80165,127902,2011-10-19,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,snapchat chat,chat with,video,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/messenger/id454638411?uo=4
43,LinkedIn: Job Search & News,Trending,LinkedIn Corporation,Business,4.63971,4810,2019-02-03,Free,job,linkedin,business,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zoom workplace,microsoft teams,microsoft outlook,outlook,sanadjo,75.0,75.0,75.0,65.0,65.0,https://apps.apple.com/jo/app/linkedin-job-search-news/id288429040?uo=4
44,My Hakeem,Trending,Electronic Health Solutions,Medical,3.5,42,2020-04-22,Free,hakeem,حكيمي,من,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hakeem care,hakeem,drhakeemrms,drhakeem,care,100.0,90.0,90.0,90.0,65.0,https://apps.apple.com/jo/app/my-hakeem/id1502227150?uo=4
45,Google Meet,Trending,Google,Social Networking,4.6693,12649,2016-09-02,Free,meet,video,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,app meet,google meet,meet chat,meet new,video editor,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/google-meet/id1096918571?uo=4
46,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.3059,91698,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,for snapchat,shareit transfer,transfer share,share video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/snapchat-chat-with-friends/id447188370?uo=4
47,مؤسسة الضمان الإجتماعي,Trending,Jordan eGovernment,Utilities,3.50964,934,2016-06-03,Free,ssc,gov,jo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ssc 22,ssc napoli,ssc exam,eurekajo properties,govuk,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9-%D8%A7%D9%84%D8%B6%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%A5%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A/id1116487092?uo=4
48,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.432,242734,2010-02-17,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,imointernational calls,voice calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/whatsapp-messenger/id310633997?uo=4
49,Zoom Workplace,Trending,"Zoom Communications, Inc.",Business,4.47025,5899,2012-08-15,Free,zoom,workplace,zoom workplace,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zoom workplace,workplace for,workplace from,avaya workplace,workplace chat,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/zoom-workplace/id546505307?uo=4
50,"Picsart AI Photo, Video Editor",Trending,"PicsArt, Inc.",Photo & Video,4.71326,12276,2013-01-02,Free,ai,create,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,photo,photos,snapchat chat,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/jo/app/picsart-ai-photo-video-editor/id587366035?uo=4
51,Yola - Bubble Friends,Trending,"Guangzhou Hongmu Network Technology Co., Ltd.",Entertainment,1.8,5,2025-04-03,Free,voice,friends,social,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,and voice,voice memos,voice chat,voice calls,voice,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/yola-bubble-friends/id6743786565?uo=4
52,Booking.com Travel Deals,Trending,Booking.com,Travel,4.75581,10324,2010-04-14,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bookingcom travel,travel deals,hotels booking,hotel booking,travel,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/booking-com-travel-deals/id367003839?uo=4
53,Dadsters Family,Trending,ayman alsawair,Lifestyle,4.86904,84,2024-08-27,Free,dadsters,family,dadsters family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dadsters family,dadsters,rush running,talking angela,running game,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/dadsters-family/id6467607050?uo=4
54,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,2.94334,290426,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,new people,sculpt people,facebook,people,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jo/app/facebook/id284882215?uo=4
55,Balador,Trending,Balador Technology Solutions,Business,4.20395,152,2021-04-01,Free,balador,service,ahead,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,balador,job search,arabi mobicash,orange max,petra ride,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/balador/id1554995121?uo=4
56,BOTIM - Video and Voice Calls,Trending,Algento Cloud Computing Limited,Social Networking,4.46009,6201,2017-08-14,Free,botim,money,voice,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,and voice,voice calls,voice memos,voice chat,botim,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/botim-video-and-voice-calls/id1263036818?uo=4
57,GAM App,Trending,Jordan eGovernment,Utilities,4.75232,25238,2018-01-16,Free,عمان,عن,الاستعلام,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jepco customer,city bus,vision city,customer services,gam app,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/gam-app/id1329913679?uo=4
58,Dooz Cars,Trending,Tashweesh For Software Development Company,Business,3.04255,94,2022-06-25,Free,dooz,cars,buy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dooz cars,hotels cars,buy bitcoin,binance buy,dooz,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/dooz-cars/id1627030530?uo=4
59,Netflix,Trending,"Netflix, Inc.",Entertainment,3.96918,8468,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netflix teleparty,party netflix,netflix,game unleashed,san andreas,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/netflix/id363590051?uo=4
60,Spotify: Music and Podcasts,Trending,Spotify,Music,4.67657,47105,2019-02-12,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,play music,spotify music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/spotify-music-and-podcasts/id324684580?uo=4
61,شاهد  Shahid,Trending,MBC Group,Entertainment,2.6515,2571,2014-06-01,Free,shahid,entertainment,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shahid,series,viu stream,yango play,and music,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/%D8%B4%D8%A7%D9%87%D8%AF-shahid/id879915134?uo=4
62,Jordan Islamic Bank,Trending,Jordan Islamic Bank,Finance,2.71877,1625,2020-01-28,Free,jib,bank,banking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jibjab funny,banking made,reflect banking,banking services,mobile banking,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/jordan-islamic-bank/id1496540793?uo=4
63,Azar - Video Chat,Trending,Hyperconnect LLC,Social Networking,4.36111,12417,2015-06-11,Free,azar,video,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,snapchat chat,chat with,azar,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/azar-video-chat/id972558973?uo=4
64,Creati: Gen AI Content Creator,Trending,IMGCreator Limited,Graphics & Design,4.57759,348,2024-03-08,Free,creati,ai,photos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,photos,snapchat chat,with friends,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/creati-gen-ai-content-creator/id6478513085?uo=4
65,JEPCO Customer Services,Trending,Jordan Electric Power Company,Utilities,3.5,54,2018-11-30,Free,customer,jepco,meter,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jepco customer,customer services,zaincar customer,digital jepco,jepco services,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/jepco-customer-services/id1444836536?uo=4
66,Duolingo - Language Lessons,Trending,Duolingo,Education,4.77933,17370,2012-11-13,Free,duolingo,language,learn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,duolingo abc,language learning,language lessons,busuu language,english language,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/duolingo-language-lessons/id570060128?uo=4
67,YouTube,Trending,Google,Photo & Video,4.27508,298266,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,safe youtube,youtube music,youtube kids,youtube video,youtube studio,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/youtube/id544007664?uo=4
68,"VPN Lumos: Open Proxy, Connect",Trending,"LUMOS, OOO",Utilities,4.15374,735,2018-05-08,Free,subscription,period,lumos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clue period,flo period,period tracker,ivy period,period,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/vpn-lumos-open-proxy-connect/id1373844471?uo=4
69,Google Drive – online backup,Trending,Google,Productivity,4.71583,34673,2012-06-28,Free,google,files,drive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google earth,google translate,transfer files,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/google-drive-online-backup/id507874739?uo=4
70,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.65875,1978,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the content,content nearby,content cloud,explore content,content,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/dramabox-stream-drama-shorts/id6445905219?uo=4
71,Kick - Live Streaming,Trending,Kick Streaming,Photo & Video,4.421,1019,2023-03-26,Free,kick,live,streaming,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,crazy kick,kick fun,football kick,kick the,live streaming,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/kick-live-streaming/id6446202561?uo=4
72,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.34356,2477,2019-03-16,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,chat with,ometv,chat,snapchat,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/jo/app/ometv-video-chat-alternative/id1252974010?uo=4
